id,raw_id,init_turbidity,fin_turbidity,dosage,start_time,floc_area_ratio
0,0,1000,2.86,0.625,26,0.3146972656
1,1,1000,1.80,0.625,25,0.2426757813
2,2,1000,1.68,0.625,24,0.2712402344
3,3,500,2.71,0.625,19,0.265625
4,4,500,2.68,0.625,16,0.2573242188
5,5,500,2.73,0.625,20,0.3896484375
6,6,100,2.60,0.625,20,0.375
7,7,100,2.60,0.625,18,0.3117675781
8,8,100,2.80,0.625,24,0.3200683594
9,9,50,2.08,0.625,21,0.1826171875
10,11,50,2.24,0.625,18,0.25390625
11,12,10,2.53,0.625,28,0.2082519531
12,13,10,1.66,0.625,27,0.1484375
13,14,10,1.09,0.625,26,0.2111816406
14,15,1000,2.06,0.3125,23,0.2165527344
15,16,1000,1.71,0.3125,25,0.2145996094
16,17,1000,2.76,0.3125,26,0.2321777344
17,18,500,0.95,0.3125,22,0.2145996094
18,19,500,2.58,0.3125,26,0.2734375
19,20,500,1.15,0.3125,25,0.2170410156
20,21,100,1.10,0.3125,23,0.2124023438
21,22,100,0.51,0.3125,21,0.2045898438
22,23,100,0.86,0.3125,24,0.1677246094
23,24,50,1.91,0.3125,22,0.1547851563
24,25,50,2.73,0.3125,23,0.2814941406
25,26,50,2.53,0.3125,24,0.2478027344
26,30,1000,85.50,0.15625,21,0.9841308594
27,31,1000,77.50,0.15625,22,0.9858398438
28,32,1000,70.50,0.15625,22,0.9838867188
29,33,10,0.28,0.3125,23,0.1547851563
30,34,10,1.54,0.3125,24,0.1281738281
31,35,10,2.60,0.3125,25,0.2553710938
32,36,500,10.50,0.15625,21,0.9865722656
33,37,500,66.00,0.15625,21,0.9892578125
34,38,500,23.50,0.15625,18,0.9890136719
35,39,100,5.59,0.15625,17,0.3518066406
36,40,100,4.49,0.15625,14,0.3503417969
37,41,100,4.96,0.15625,16,0.3422851563
38,42,50,2.80,0.15625,18,0.3374023438
39,43,50,2.68,0.15625,18,0.2719726563
40,44,50,3.49,0.15625,17,0.3454589844
41,48,10,2.44,0.15625,20,0.2722167969
42,49,10,2.55,0.15625,21,0.2360839844
43,50,10,2.50,0.15625,19,0.3059082031
44,51,1000,2.54,0.9375,19,0.3698730469
45,52,1000,2.74,0.9375,20,0.3439941406
46,53,1000,2.70,0.9375,21,0.3081054688
47,63,10,1.83,0.9375,19,0.2761230469
48,65,10,1.60,0.9375,19,0.2097167969
49,66,1000,2.61,0.625,4,0.2194824219
50,67,1000,4.43,0.625,3,0.2546386719
51,68,1000,2.54,0.625,6,0.2138671875
52,69,500,0.44,0.625,18,0.2045898438
53,70,500,0.50,0.625,18,0.2145996094
54,71,500,0.53,0.625,19,0.203125
55,72,100,1.81,0.625,2,0.2443847656
56,74,100,0.45,0.625,3,0.2155761719
57,75,50,1.64,0.625,5,0.2202148438
58,76,50,0.64,0.625,5,0.2158203125
59,77,50,0.61,0.625,5,0.2199707031
60,79,10,0.43,0.625,4,0.2514648438
61,80,10,1.68,0.625,4,0.2561035156
62,81,1000,0.48,0.3125,4,0.1591796875
63,82,1000,1.12,0.3125,3,0.1650390625
64,83,1000,5.54,0.3125,6,0.3681640625
65,87,100,0.89,0.3125,2,0.1794433594
66,88,100,0.77,0.3125,2,0.1848144531
67,89,100,2.56,0.3125,2,0.2058105469
68,90,50,0.43,0.3125,2,0.16796875
69,91,50,1.84,0.3125,3,0.2690429688
70,92,50,1.02,0.3125,4,0.1750488281
71,93,10,1.08,0.3125,7,0.1630859375
72,94,10,0.69,0.3125,7,0.2053222656
73,95,10,0.53,0.3125,7,0.1135253906
74,96,1000,1.14,0.15625,0,0.1535644531
75,97,500,0.42,0.15625,0,0.1643066406
76,98,100,0.76,0.15625,1,0.2556152344
77,99,50,1.25,0.15625,5,0.2270507813
78,100,10,0.96,0.15625,5,0.1726074219
79,101,1000,2.73,0.9375,5,0.2687988281
80,102,500,2.26,0.9375,17,0.2685546875
81,103,100,2.66,0.9375,17,0.2585449219
82,104,50,1.44,0.9375,16,0.2785644531
83,105,10,2.51,0.9375,19,0.2766113281
84,106,50,0.83,0.625,22,0.2072753906
85,107,10,0.84,0.9375,22,0.2580566406
86,108,500,2.51,0.9375,7,0.2795410156
87,109,500,2.51,0.9375,7,0.3454589844
88,110,500,0.70,0.9375,7,0.2648925781
89,111,100,1.29,0.9375,5,0.2932128906
90,112,100,2.39,0.9375,8,0.3383789063
91,113,100,2.46,0.9375,8,0.2844238281
92,114,50,2.55,0.9375,0,0.3698730469
93,115,50,1.66,0.9375,0,0.3376464844
94,117,500,1.12,0.3125,4,0.18359375
95,118,500,0.77,0.3125,4,0.2023925781
96,119,500,0.74,0.3125,5,0.1618652344
97,120,100,0.90,0.625,4,0.2758789063
98,121,10,1.99,0.625,5,0.279296875
99,122,50,2.63,0.9375,6,0.3415527344